index	datetime	x_1_num	x_2_cat	x_3_txt	y_1_value	y_2_class	y_3_forecast	y_4_bin
163.00	17/07/2020 14:30	0.47	A	@1chathais TambŽm n‹o acreditei. O Estado de Minas pulicou que est‹o estudando implantar uma unidade	0.44	B	1.30	positivo
164.00	17/07/2020 14:45	0.99	C	@50Rosanaborges @folha @UOL j‡ Ž o pior governador da hist—ria de Minas.	0.85	C	2.22	negativo
165.00	17/07/2020 15:00	0.32	B	@a_alinediniz parabŽns vc emplacou o release no estad‹o.  folha.  o globo.  isto Ž e Veja. Na pr—xima vez consiga SPTV.  Estado de Minas...	0.31	A	1.14	positivo
166.00	17/07/2020 15:15	0.94	A	@AcordouAcordou Minas est‡ linda. recheada de mineiros e mineiras gente boa. o problema Ž o governo de MG.	0.81	A	2.05	negativo
167.00	17/07/2020 15:30	0.02	B	@AdemirAlvim @pdevechi Estado de Minas melhorando a manchete tb... s— n‹o falou que eram negros. mas mencionou a motiva‹o pol’tica.	0.03	B	0.51	positivo
168.00	17/07/2020 15:45	0.56	C	@AL_Kaio_ acho que n‹o 4 de SP. 4 do RJ. 3 de MG. 3 do RS. e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis	0.54	A	1.14	negativo
169.00	17/07/2020 16:00	0.63	A	@AlbertoLage @rebeldescalca @YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas	0.59	C	1.55	positivo
170.00	17/07/2020 16:15	0.79	D	@AnaPaulaVolei e tem mais essa: https://t.co/BnDsO34qK0	0.70	B	1.89	negativo
171.00	17/07/2020 16:30	0.03	C	@Anastasia @revistaencontro Espero que voc seja o pr—ximo governador das Minas Geraes!	0.04	A	0.45	positivo
172.00	17/07/2020 16:45	0.29	D	@andregallindo @R2renatoribeiro @JornalOGlobo Sou de minas. flamenguista e Ž triste. muito triste ver o maior palco do futebol neste estado.	0.30	C	0.60	negativo
173.00	17/07/2020 17:00	0.37	B	@anterogreco @gianoddi @rafaelribeiro se der. manda um abrao para os palmeirenses aqui de governador Valadares MG. Antero.	0.37	A	0.88	positivo
174.00	17/07/2020 17:15	0.58	A	@AREZZO_ estou em outro estado! Comprei durante as fŽrias em MG.	0.55	B	1.34	negativo
175.00	17/07/2020 17:30	0.74	C	@AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocenteðð	0.66	C	1.77	positivo
176.00	17/07/2020 17:45	0.26	B	@azeredo_mg @STF_oficial @MichelTemer Justamente isso. morreu bandido Ž indenizado. enquanto isso os inocentes est‹o sem aparo do governo	0.27	A	0.89	negativo
177.00	17/07/2020 18:00	0.75	A	@b3arland eu sou do interior de MG. mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheo aqui Ž o Breno	0.67	A	1.62	positivo
178.00	17/07/2020 18:15	0.36	B	@baekliar o governo de minas d‡ ate estojo???????socorro	0.36	B	1.10	negativo
179.00	17/07/2020 18:30	0.22	C	@Bella_DiGenaro y patea con las 2 patas. adem‡s el wueon es zurdos. con todas las minas buenas q a estado. se le va el gusto atr‡s?	0.21	A	0.62	positivo
180.00	17/07/2020 18:45	0.76	A	@beppo22 Risco de calote de Estados com a Uni‹o cresce - Politica - Estado de Minas https://t.co/zdjOcATDo3	0.68	C	1.64	negativo
181.00	17/07/2020 19:00	0.31	D	@betorosio Bom dia professor!!!!	0.30	B	1.01	positivo
182.00	17/07/2020 19:15	0.62	C		0.57	A	1.40	negativo
183.00	17/07/2020 19:30	0.84	D		0.74	C	1.99	positivo
184.00	17/07/2020 19:45	0.05	B	@BlogDoPim @carioca556 	0.04	A	0.52	negativo
185.00	17/07/2020 20:00	0.71	A		0.66	B	1.44	positivo
186.00	17/07/2020 20:15	0.94	C	@cartacapital e em minas governador usa helic—ptero do governo para buscar filho em festa	0.81	C	2.23	negativo
187.00	17/07/2020 20:30	0.66	B	@cartacapital isso tudo Ž um absurdo. legal mesmo Ž isso aqui https://t.co/TnVZQTadaD	0.61	A	1.80	positivo
188.00	17/07/2020 20:45	0.62	A	@Castro2Monica ent‹o. qual Ž o governador das Minas Gerais?	0.59	A	1.58	negativo
189.00	17/07/2020 21:00	0.17	B	@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente. J‡ trabalhei no governo de MG e vi isso de perto.	0.18	B	0.65	positivo
190.00	17/07/2020 21:15	0.97	C	@ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!	0.84	A	2.03	negativo
191.00	17/07/2020 21:30	0.35	A	@claudfeb @mayrasmendoza @CFKArgentina Andar con minas no. pelotudo. pagarlas con guita del Estado. s’:	0.34	C	1.19	positivo
192.00	17/07/2020 21:45	0.01	D		0.01	B	0.19	negativo
193.00	17/07/2020 22:00	0.12	C		0.12	A	0.25	positivo
194.00	17/07/2020 22:15	0.71	D	@Codevasf e @governomg discutem retomada do convnio para constru‹o da barragem do Jequita’. Veja:É https://t.co/ndMvqAk49E	0.64	C	1.48	negativo
195.00	17/07/2020 22:30	0.81	B	@ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.	0.71	A	1.97	positivo
196.00	17/07/2020 22:45	0.37	A	@cotonewers praticamente hahah uma parte da minha fam’lia Ž de mg. Pra mim Ž o melhor estado p passear no Brasil ð	0.37	B	1.14	negativo
197.00	17/07/2020 23:00	0.90	C	@danilo12mf @pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..s— tem lixo nessa porra	0.78	C	1.99	positivo
198.00	17/07/2020 23:15	0.27	B	@DCM_online Newton Cardoso Junior Ž da pior estirpe de politicos mineiros. Um golpista e desonesto. herana do pai. ex-governador de Minas.!	0.27	A	1.00	negativo
199.00	17/07/2020 23:30	0.42	A	@deeh_gerhardt https://t.co/TONVnZGvHq	0.42	A	0.97	positivo
200.00	17/07/2020 23:45	0.90	B	@deivaolm @Ary_AntiPT @c0nvey Antes ou depois de o governo de MG comprar 2 helic—pteros?	0.80	B	2.02	negativo
201.00	18/07/2020 00:00	0.70	C	@dibiaseneves v‹o se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG. sejam bem vindos a BH. #cruzeirosempre #maiordeminas	0.63	A	1.85	positivo
202.00	18/07/2020 00:15	0.87	A	@diegocabral75 @exame a’ em MG. ta td bem? Pimentel cada dia fazendo melhor para o estado nŽ? ainda bem q o doria Ž prefeito de SP e nao BH	0.75	C	2.09	negativo
203.00	18/07/2020 00:30	0.30	D	@digaoi a internet ta ruim no estado de MG ?	0.30	B	1.04	positivo
204.00	18/07/2020 00:45	0.66	C	@diogo_cc estou hahahaha mas trabalho mais pro impresso. Estado de Minas	0.62	A	1.47	negativo
205.00	18/07/2020 01:00	0.60	D	@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao e do governo de Minas.  A’ joga no indepencia pq torcida s— enche caixa de f—sforo	0.57	C	1.52	positivo
206.00	18/07/2020 01:15	0.20	B	@DonaMed_VE 	0.20	A	0.70	negativo
207.00	18/07/2020 01:30	0.08	A		0.08	B	0.27	positivo
208.00	18/07/2020 01:45	0.68	C		0.62	C	1.40	negativo
209.00	18/07/2020 02:00	0.13	B		0.12	A	0.59	positivo
210.00	18/07/2020 02:15	0.25	A		0.26	A	0.56	negativo
211.00	18/07/2020 02:30	0.99	B		0.84	B	2.11	positivo
212.00	18/07/2020 02:45	0.56	C	@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533	0.54	A	1.61	negativo
213.00	18/07/2020 03:00	0.37	A	@droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias	0.37	C	1.01	positivo
214.00	18/07/2020 03:15	0.74	D	@ElPoliTwico AYUDA HOY ES UNA NI„A CON MENINGITIS. ma–ana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.	0.68	B	1.66	negativo
215.00	18/07/2020 03:30	0.46	C	@em_com MG. o estado da idade do ferro. e sua capital	0.44	A	1.29	positivo
216.00	18/07/2020 03:45	0.79	D	@em_com v‹o cobrir isto? https://t.co/SNYMRfQ737	0.72	C	1.81	negativo
217.00	18/07/2020 04:00	0.31	B	@esd4n ninguno. a decir verdad he estado con minas peores	0.32	A	1.02	positivo
218.00	18/07/2020 04:15	0.58	A	@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI Em MG. a criminalidade aumentou com o PT https://t.co/3E7sdl1UsT	0.55	B	1.32	negativo
219.00	18/07/2020 04:30	0.06	C	@evaristocosta j‡ visitou o estado de MG? Se sim o que achou?	0.06	C	0.41	positivo
220.00	18/07/2020 04:45	0.84	B	@filiperabelo @JocaMani	0.73	A	1.71	negativo
221.00	18/07/2020 05:00	0.70	A		0.63	A	1.81	positivo
222.00	18/07/2020 05:15	0.44	B		0.43	B	1.23	negativo
223.00	18/07/2020 05:30	0.94	C	@FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii	0.80	A	2.10	positivo
224.00	18/07/2020 05:45	0.79	A	@folha - E da’? O palhao de Minas voou trocentas vezes no helic—ptero do ESTADO para namorar em Florian—polis e a imprensa n‹o deu um PIO.	0.71	C	2.05	negativo
225.00	18/07/2020 06:00	0.20	D	@folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar Ž um s—..	0.20	B	0.79	positivo
226.00	18/07/2020 06:15	0.86	C	@ForunsMG v‹o eleger novos prefeitos e vereadores para o Colegiado Executivo e avanar na participa‹o popular.É https://t.co/hLjmXWoK4i	0.77	A	1.83	negativo
227.00	18/07/2020 06:30	0.30	D	@FutDados William n‹o tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...ð__	0.31	C	1.03	positivo
228.00	18/07/2020 06:45	0.82	B	@Fute_Minas O complicado Ž isso! Desse jeito nunca teremos uma terceira. quarta fora no estado! N‹o da pros clubes do interior investir!	0.74	A	1.79	negativo
229.00	18/07/2020 07:00	0.58	A	@GaloAustralia incorreto. No socialismo. a elite nunca se fode. O Estado fede.	0.55	B	1.57	positivo
230.00	18/07/2020 07:15	0.08	C	@Galonopeito1 Se Minas tivesse mar. esse Estado ia ser o para’so hahaha _	0.07	C	0.46	negativo
231.00	18/07/2020 07:30	0.73	B	@geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na ‡rea da indœstria meu governador PT Minas Gerais	0.66	A	1.49	positivo
232.00	18/07/2020 07:45	0.31	A	@gercinu tu est‡s em MG? H‡ uma zona de baixa press‹o em cima do estado que impede a forma‹o de nuvens.	0.31	A	0.98	negativo
233.00	18/07/2020 08:00	0.33	B	@GilzanaCarvalho SP Ž realmente fascinante.tem v‡rios contrastes.mas Minas Ž um estado bom tbm...alias o Brasil Ž um Belo Pais.so q mau admð	0.32	B	0.81	positivo
234.00	18/07/2020 08:15	0.31	C	@GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! AtŽ as FAC‚ÍES do lula BæBADO	0.31	A	0.79	negativo
235.00	18/07/2020 08:30	0.78	A	@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado de Minas. bunit‹o. chegados do AŽcio. https://t.co/sjkpoMJvqX	0.71	C	1.73	positivo
236.00	18/07/2020 08:45	0.53	D	@hidselena minas gerais estado do p‹o de queij	0.52	B	1.45	negativo
237.00	18/07/2020 09:00	0.24	C	@HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho	0.24	A	0.75	positivo
238.00	18/07/2020 09:15	0.11	D	@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/yM8IsmD4Wn	0.11	C	0.33	negativo
239.00	18/07/2020 09:30	0.19	B	@i5gornascimento #i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/5sutw56PxJ	0.20	A	0.44	positivo
240.00	18/07/2020 09:45	0.83	A	@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos em menos de ... https://t.co/7IiBGRNW9l	0.73	B	1.76	negativo
241.00	18/07/2020 10:00	0.02	C	@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/4MiJlXKxoW	0.03	C	0.45	positivo
242.00	18/07/2020 10:15	0.63	B	@Independent  o melhor queijo do mundo Ž daqui do Brasil mais exatamente do estado de Minas Gerais	0.60	A	1.26	negativo
243.00	18/07/2020 10:30	0.15	A	"@infomoney ""bando do Brasil"" Ž o partido do governador de MG."	0.15	A	0.61	positivo
244.00	18/07/2020 10:45	0.73	B	@IPAFARMA @Avivasa1965 buenos d’as. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta	0.67	B	1.53	negativo
245.00	18/07/2020 11:00	0.98	C	@israel_massa @ferrisss @JornalOGlobo pelo menos 1 coisa p se orgulhar do governo de minas. Esse tem q ser o modelo. Recuperar o cidad‹o...	0.82	A	2.32	positivo
246.00	18/07/2020 11:15	0.03	A	@jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG Ž o maior cabide de empregos do meu estado. minha m‹e coitada nem cheiro 13 s	0.02	C	0.56	negativo
247.00	18/07/2020 11:30	0.14	D	@jcavaa Cuando vi tu nombre como ganador del #EuroLogo me sonaste mucho. tras 3 d’as. me doy cuenta de que me has estado dando mg en instað	0.15	B	0.29	positivo
248.00	18/07/2020 11:45	0.62	C	@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheo bem as APACs de quando trabalhei no governo de MG...	0.59	A	1.30	negativo
249.00	18/07/2020 12:00	0.77	D	@JoanapereiraF Ol‡! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!	0.71	C	1.86	positivo
250.00	18/07/2020 12:15	0.54	B	@joaoleiteBH isso  jo‹o. contamos com vcs pra derrotar esses bandidos q est‹o no poder. lugar de bandido Ž na cadeia. n no governo de MG	0.51	A	1.47	negativo
251.00	18/07/2020 12:30	0.79	A	@jonanperrea @holdmenouis_ mejor!! Eswue estado unos d’as sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo	0.72	B	1.84	positivo
252.00	18/07/2020 12:45	0.12	C	@jornal_cultura @tvcultura 	0.13	C	0.63	negativo
253.00	18/07/2020 13:00	0.54	B		0.51	A	1.14	positivo
254.00	18/07/2020 13:15	0.95	A	@jornal_cultura governo federal com cart‹o de crŽdito...governo de MG passeando e comprando helic—pteros. AtŽ onde?	0.81	A	2.16	negativo
255.00	18/07/2020 13:30	0.82	B	@jornaldacbn O @LFPezao  quando precisar dar um passeio. ele pode pedir emprestado o helic—ptero emprestado do  Governador de MG.	0.73	B	2.12	positivo
256.00	18/07/2020 13:45	0.44	C	@JoseAMeadeK Los abusos. aun en el estado mas s—lido. son minas sordas que tarde o temprano estallan.	0.42	A	1.28	negativo
257.00	18/07/2020 14:00	0.74	A	@JustMoveOn10 #TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:))))	0.68	C	1.71	positivo
258.00	18/07/2020 14:15	0.65	D	@kalkssabrina @AnaPaulaVolei E o Estado com as finanas no vermelho! E o resto da era PT acabando com MG.	0.61	B	1.66	negativo
259.00	18/07/2020 14:30	0.84	C	@Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar	0.73	A	1.99	positivo
260.00	18/07/2020 14:45	0.89	D	@kellybh1 Ol‡ Kelly. somos do estado do Paran‡. mas o servio 181 est‡ em Minas Gerais tambŽm! Ligue 181 e denuncie!	0.78	C	2.21	negativo
261.00	18/07/2020 15:00	0.96	B	@lancenet aqui em Minas nenhum dos grandes portais (itatiaia. superesportes. Estado de Minas) noticia isso. AtŽ os setoristas desconhecem	0.81	A	2.36	positivo
262.00	18/07/2020 15:15	0.03	A	@Laurinahloves5h @WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat ððð basta no puedo	0.02	B	0.54	negativo
263.00	18/07/2020 15:30	0.32	C	@Leisparaquem @portalfab sinto muito. existem outras prioridades.  o governador de Minas precisa transportar seus pimpolhos	0.32	C	0.66	positivo
264.00	18/07/2020 15:45	0.70	B	@leonardogoncal7 qual sua principal meta pra 2017? Que Deus te abenoe cada dia mais _ (volta pra Governador Valadares/MG hahah)	0.64	A	1.56	negativo
265.00	18/07/2020 16:00	0.87	A	@LocatelVzla_ATC buenos d’as me pueden informar si hay stalevo de 100 mg en Locatel la limpia Estado Zulia?	0.78	A	2.10	positivo
266.00	18/07/2020 16:15	0.45	B	@Lucas_htt anuncia no estado de minas o bcta kkkkkkk	0.42	B	1.33	negativo
267.00	18/07/2020 16:30	0.53	C	@Lucianaleiva99 mira no me quiero ni imaginar ese estado. As’ mg	0.49	A	1.28	positivo
268.00	18/07/2020 16:45	0.73	A	@lucosttab eu fico meio pistola porque minas Ž o estado que mais produz cafŽ porŽm o melhor vai pro exterior e aqui do msm custa absurdos	0.66	C	1.72	negativo
269.00	18/07/2020 17:00	0.92	D	@LuliiPrimo MG tengo que ser sirvienta tuya hasta 2018 por mi estado	0.81	B	2.20	positivo
270.00	18/07/2020 17:15	0.77	C	@MacarenaTablada amm que le pones mg a mo estado. El finde hagamos algo asi te despedimos . Dspea te vamos a extra–arrr	0.70	A	2.01	negativo
271.00	18/07/2020 17:30	0.87	D	@macsanto777 @Acircamargo @KatiaAbreu Minas j‡ sabe bem o que Ž ter um governador aspirador de p—... ððð	0.76	C	2.13	positivo
272.00	18/07/2020 17:45	0.78	B	@madeleinelacsko Em MG e SP.o Estado tem razo‡vel controle sobre o sistema prisional.c —rg‹os d adimnistra‹o penitenci‡ria bem estruturados	0.72	A	2.01	negativo
273.00	18/07/2020 18:00	0.31	A	@Madonegatti MG melhor estado	0.32	B	1.02	positivo
274.00	18/07/2020 18:15	0.37	C	@Mandah05 vc viu o Governador de Minas que foi buscar o filho de helic—ptero do governo ? Isso Ž Repœblica!	0.37	C	0.90	negativo
275.00	18/07/2020 18:30	0.56	B	@mangelrogel a mi mg tu v’deo qsyo yo no lo relacione con tu estado de ‡nimo. lo vi medio realista. eso le da el toke de queda ahr	0.52	A	1.30	positivo
276.00	18/07/2020 18:45	0.29	A	@ManoloMontalt Paco Roig en estado puro Manolo... Jajaja!!! Me rio por no llorar :(	0.29	A	0.86	negativo
277.00	18/07/2020 19:00	0.62	B	@marcelorubens ƒ https://t.co/6lRueqop6N	0.58	B	1.38	positivo
278.00	18/07/2020 19:15	0.55	C	@MarcoPaolo He estado en conciertos dnd las minas son una + empujando y pegando pero no. dale con el prejuicio queÉ https://t.co/scssXuac0t	0.51	A	1.42	negativo
279.00	18/07/2020 19:30	0.82	A	@MarcosV60958142 S— lembrando que este cr‡pula.mesmo com todo o apoio da m’dia e dessas elei›es controladas.NÌO VENCEU EM MG (estado dele)	0.72	C	1.92	positivo
280.00	18/07/2020 19:45	0.08	D	@McOmghall @OcenMind Segura q no es el estado quien les cede la explotaci—n d las minas a cambio d parte de la producci—n?	0.08	B	0.57	negativo
281.00	18/07/2020 20:00	0.24	C	@mcveylands donde viste esa mierda. bryana es la m‡s agradable de las minas que han estado con 5sos	0.24	A	0.52	positivo
282.00	18/07/2020 20:15	0.80	D	@meditotal buenos d’as. Tienen stalevo de 100 mg? Vivo en el Estado Nueva Esparta. con urgencia	0.72	C	1.72	negativo
283.00	18/07/2020 20:30	0.47	B	@mgfernetmgbirra 10 horas antes borraste mi estado. sacaste nuestra foto de todos lados.y le diste mg a una zorra ð	0.46	A	1.34	positivo
284.00	18/07/2020 20:45	0.76	A	@MichelTemer Esses sim precisam de indenizaao do governo. @GloboNews https://t.co/BZtYad6JTe	0.68	B	1.75	negativo
285.00	18/07/2020 21:00	0.67	C	@MichelTemer https://t.co/6gfWgoWZfn N‹o tem que perdoar a divida se tem tanto dinheiro para helicoptero	0.62	C	1.71	positivo
286.00	18/07/2020 21:15	0.77	B	@MidiaNINJA Apoia o governo corrupto do Fernando Pimentel em MG? Ap—ia que use helic—ptero para buscar filho em balada?	0.69	A	1.87	negativo
287.00	18/07/2020 21:30	0.12	A	@MidiaNINJA Apoia que Pimentel ignore a falncia do estado de MG e compre mais helic—pteros pra passear! #ForaPimentelMG	0.11	A	0.62	positivo
288.00	18/07/2020 21:45	0.11	B	@MidiaNINJA E o governador de MG? Comprar helic—pteros pode nŽ? Basta ser petista! ðð	0.10	B	0.29	negativo
289.00	18/07/2020 22:00	0.69	C	@MiriamLeitaoCom @JornalOGlobo N‹o sabem nada .Nem se h‡ crise mesmo nos Estados.Pelo jeito .n‹o. Em MG o governo esbanja.	0.64	A	1.43	positivo
290.00	18/07/2020 22:15	0.38	A	@mrc_mg Non basta cambiare canale. bisogna cambiare ennesimo Governo abusivo e soprattutto politici arroganti	0.37	C	1.10	negativo
291.00	18/07/2020 22:30	0.24	D	@MrSincero_ @klyfor @MBLivre @MBLivreBH Minas foi governada de 2003 a 2014 pelo PSDB e voc quer fazer acreditar que Pimentel faliu o estado	0.24	B	0.68	positivo
292.00	18/07/2020 22:45	0.99	C	@mtv_anab esse sotaque de minas seu ___ melhor estado n‹o Ž msm? Amo! https://t.co/4jwaOrTNMp	0.83	A	2.10	negativo
293.00	18/07/2020 23:00	0.30	D	@Multi_Anime no puedo decidirme. por eso di MG y RT. Mi infancia sin alguno de los dos hubiera estado incompleta.	0.29	C	1.09	positivo
294.00	18/07/2020 23:15	0.91	B	@mvbill Salve.em MG ta do mesmo estado	0.79	A	1.96	negativo
295.00	18/07/2020 23:30	0.79	A	@NataliaAssis0 Se voc mora em çgua Doce do Norte-ES. as capela mais pr—ximas ficam em Governador Valadares-MG e Nova VenŽcia-ES.	0.72	B	2.02	positivo
296.00	18/07/2020 23:45	0.76	C	@NiBarga  participou junto com a anta ( Dilms ) de terrorismo no Brasil. hoje infelizmente o povo de Minas o elegeu Governador	0.69	C	1.91	negativo
297.00	19/07/2020 00:00	0.99	B	@NiBarga Agora aguentem. mas n‹o podemos esquecer que ele declarou estado de emergncia em Minas. e vejam a hipocrisia desse safado	0.83	A	2.36	positivo
298.00	19/07/2020 00:15	0.40	A	@NiBarga Aproximadamente R$ 1.5 bilh‹o para o pagamento de resgates dos dep—sitos judiciais sumiram das contas do gÉ https://t.co/Uzw2mQup3p	0.39	A	1.30	negativo
299.00	19/07/2020 00:30	0.96	B	@NiBarga crise que Minas Gerais enfrenta. e antes declarou estado de emergncia em Minas Gerais. o cara Ž pilantra e comunista terrorista.	0.83	B	2.11	positivo
300.00	19/07/2020 00:45	0.44	C		0.43	A	1.35	negativo
